NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,NAG,NAU,Dir,Conf,Schoenflies symbol,CSM,RMS
deca_Ag_04_Au_09_config_322,-12082.8167,-12085.59591,0.98765,0.15242,9,4,-0.27209231,-0.02093018,-2.74698692,-0.21130669,-14.31791,-1.101378,36,2.8373861,5,2.9077899,0.1389,16,2.8190529,0.4444,15,2.8334732,0.4167,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_322,NO,NA,NA
deca_Ag_04_Au_09_config_323,-12083.288,-12085.41315,0.99115,0.16252,9,4,-0.74339231,-0.05718402,-2.56422692,-0.19724823,-14.135151,-1.087319,34,2.8142488,2,2.8514414,0.0588,19,2.8092651,0.5588,13,2.8158102,0.3824,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_323,NO,NA,NA
deca_Ag_04_Au_09_config_324,-12083.3932,-12085.61956,0.99395,0.17391,9,4,-0.84859231,-0.06527633,-2.77063692,-0.21312592,-14.341564,-1.103197,34,2.8195064,4,2.888905,0.1176,18,2.8246827,0.5294,12,2.7886105,0.3529,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_324,NO,NA,NA
deca_Ag_04_Au_09_config_325,-12083.5656,-12085.35814,0.99454,0.17702,9,4,-1.02099231,-0.07853787,-2.50921692,-0.19301669,-14.08014,-1.083088,35,2.82851,2,2.8333464,0.0571,19,2.8184602,0.5429,14,2.8414586,0.4,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_325,NO,NA,NA
deca_Ag_04_Au_09_config_326,-12083.5422,-12084.58228,0.9945,0.17676,9,4,-0.99759231,-0.07673787,-1.73335692,-0.13333515,-13.304281,-1.023406,35,2.8332388,2,2.9321866,0.0571,19,2.822654,0.5429,14,2.8334692,0.4,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_326,NO,NA,NA
deca_Ag_04_Au_09_config_327,-12083.3868,-12085.47441,0.99429,0.17564,9,4,-0.84219231,-0.06478402,-2.62548692,-0.20196053,-14.196408,-1.092031,34,2.813508,1,2.7852576,0.0294,19,2.8077865,0.5588,14,2.8232901,0.4118,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_327,NO,NA,NA
deca_Ag_04_Au_09_config_328,-12082.9642,-12085.52326,0.99495,0.17938,9,4,-0.41959231,-0.03227633,-2.67433692,-0.20571823,-14.245261,-1.095789,35,2.8319986,2,2.8189902,0.0571,19,2.8329182,0.5429,14,2.8326094,0.4,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_328,NO,NA,NA
deca_Ag_04_Au_09_config_329,-12083.0057,-12085.56845,0.99718,0.19695,9,4,-0.46109231,-0.03546864,-2.71952692,-0.20919438,-14.290453,-1.099266,35,2.8307147,2,2.8958735,0.0571,21,2.8282952,0.6,12,2.82409,0.3429,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_329,NO,NA,NA
deca_Ag_04_Au_09_config_330,-12083.3326,-12085.77042,0.99284,0.16886,9,4,-0.78799231,-0.06061479,-2.92149692,-0.22473053,-14.492416,-1.114801,37,2.8485966,5,2.9931686,0.1351,21,2.8392837,0.5676,11,2.8006604,0.2973,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_330,NO,NA,NA
deca_Ag_04_Au_09_config_331,-12083.5121,-12084.02272,0.9974,0.19936,9,4,-0.96749231,-0.07442249,-1.17379692,-0.09029207,-12.744717,-0.980363,37,2.8446372,4,2.757956,0.1081,19,2.8487351,0.5135,14,2.8638427,0.3784,Deca,4,9,Ag_04,deca_Ag_04_Au_09_config_331,Cs,0.0000,0.0002
