NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type
deca_Ag_07_Au_06_config_304,-12363.3480,-12364.657918,0.995367,0.18191,6,7,-1.010262,-0.077712,-1.971781,-0.151675,-16.110918,-1.239301,38,2.8631933,9,2.8438869,0.2368,22,2.8607302,0.5789,7,2.8957577,0.1842,Deca
deca_Ag_07_Au_06_config_305,-12363.3038,-12364.777591,0.997598,0.20168,6,7,-0.966062,-0.074312,-2.091454,-0.160881,-16.230591,-1.248507,38,2.8632817,11,2.8784585,0.2895,20,2.8396342,0.5263,7,2.9069939,0.1842,Deca
deca_Ag_07_Au_06_config_306,-12363.2377,-12364.913975,0.993846,0.17341,6,7,-0.899962,-0.069228,-2.227838,-0.171372,-16.366975,-1.258998,34,2.8186474,11,2.8412461,0.3235,19,2.8077271,0.5588,4,2.8083720,0.1176,Deca
deca_Ag_07_Au_06_config_307,-12363.3830,-12363.917578,0.997705,0.20298,6,7,-1.045262,-0.080405,-1.231441,-0.094726,-15.370578,-1.182352,37,2.8537138,6,2.8584640,0.1622,23,2.8054023,0.6216,8,2.9890466,0.2162,Deca
deca_Ag_07_Au_06_config_308,-12363.4165,-12365.471220,0.993147,0.17020,6,7,-1.078762,-0.082982,-2.785083,-0.214237,-16.924220,-1.301863,37,2.8443615,11,2.8665273,0.2973,22,2.8404851,0.5946,4,2.8047228,0.1081,Deca
deca_Ag_07_Au_06_config_309,-12362.6293,-12362.972974,2.998559,0.14810,6,7,-0.291562,-0.022428,-0.286837,-0.022064,-14.425974,-1.109690,37,2.8510213,11,2.8718939,0.2973,14,2.8039353,0.3784,12,2.8868196,0.3243,Deca
deca_Ag_07_Au_06_config_310,-12364.8762,-12364.880381,0.996176,0.18780,6,7,-2.538462,-0.195266,-2.194244,-0.168788,-16.333381,-1.256414,35,2.8278327,12,2.8065720,0.3429,14,2.8504016,0.4000,9,2.8210738,0.2571,Deca
deca_Ag_07_Au_06_config_311,-12364.8264,-12364.935810,0.992975,0.16941,6,7,-2.488662,-0.191436,-2.249673,-0.173052,-16.388810,-1.260678,34,2.8120530,8,2.8289680,0.2353,19,2.7906682,0.5588,7,2.8507631,0.2059,Deca
deca_Ag_07_Au_06_config_312,-12363.1028,-12365.083746,0.996124,0.18732,6,7,-0.765062,-0.058851,-2.397609,-0.184431,-16.536746,-1.272057,34,2.8139622,9,2.8055203,0.2647,18,2.8206573,0.5294,7,2.8076015,0.2059,Deca
deca_Ag_07_Au_06_config_313,-12363.0220,-12365.059423,0.997355,0.19896,6,7,-0.684262,-0.052636,-2.373286,-0.182560,-16.512423,-1.270186,36,2.8304958,12,2.8490512,0.3333,18,2.8194952,0.5000,6,2.8263881,0.1667,Deca
