NAME,E_KS (1st),E_Free,Spin,Gap,N_Au,N_Ag,DE1stStep,DE1stSteppa,EEFinal,EEFinalpa,DE_Bulk,DE_Bulk_peratom,NBONDS,AVBONDLEN,NAGAGBONDS,AVAGAGBONDLEN,AGAGRATIO,NAGAUBONDS,AVAGAUBONDLEN,AGAURATIO,NAUAUBONDS,AVAUAUBONDLEN,AUAURATIO,Type,Schoenflies symbol,CSM,RMS,Schoenflies symbol T
Ag_04_Au_09_BBP_config_399.xyz,-12083.4242,-12085.4119,0.994,0.17289,9,4,-0.8375,-0.0644,-1.2487,-0.0961,-14.134,-1.0872,34,2.8209,3,2.811,0.0882,16,2.8041,0.4706,15,2.8408,0.4412,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_400.xyz,-12083.1501,-12084.9205,0.993,0.16778,9,4,-0.5634,-0.0433,-0.7574,-0.0583,-13.643,-1.0494,34,2.8234,3,2.8361,0.0882,15,2.8126,0.4412,16,2.8312,0.4706,BBP,NO,,,C2
Ag_04_Au_09_BBP_config_401.xyz,-12083.2003,-12085.1316,0.99,0.15978,9,4,-0.6136,-0.0472,-0.9684,-0.0745,-13.854,-1.0657,34,2.8208,3,2.7948,0.0882,14,2.7875,0.4118,17,2.8527,0.5,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_402.xyz,-12083.5907,-12085.3458,0.993,0.16879,9,4,-1.004,-0.0772,-1.1826,-0.091,-14.068,-1.0821,33,2.8107,2,2.7889,0.0606,18,2.8006,0.5455,13,2.8281,0.3939,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_403.xyz,-12083.1691,-12084.9722,0.993,0.17211,9,4,-0.5824,-0.0448,-0.809,-0.0622,-13.694,-1.0534,34,2.8192,3,2.777,0.0882,15,2.8195,0.4412,16,2.8269,0.4706,BBP,NO,,,NO
Ag_04_Au_09_BBP_config_404.xyz,-12083.4086,-12085.2565,0.993,0.16871,9,4,-0.8219,-0.0632,-1.0933,-0.0841,-13.979,-1.0753,34,2.8224,1,2.7738,0.0294,19,2.8094,0.5588,14,2.8434,0.4118,BBP,NO,,,C2
Ag_04_Au_09_BBP_config_405.xyz,-12083.3457,-12085.1575,0.994,0.16931,9,4,-0.759,-0.0584,-0.9943,-0.0765,-13.879,-1.0677,33,2.8088,2,2.7627,0.0606,17,2.8092,0.5152,14,2.815,0.4242,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_406.xyz,-12083.3709,-12085.1406,0.993,0.17564,9,4,-0.7842,-0.0603,-0.9774,-0.0752,-13.863,-1.0664,34,2.8241,2,2.8326,0.0588,17,2.8064,0.5,15,2.8429,0.4412,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_407.xyz,-12083.0674,-12084.8312,0.995,0.18129,9,4,-0.4807,-0.037,-0.668,-0.0514,-13.553,-1.0426,33,2.8137,2,2.7775,0.0606,14,2.7908,0.4242,17,2.8367,0.5152,BBP,NO,,,C2v
Ag_04_Au_09_BBP_config_408.xyz,-12083.5087,-12085.3198,0.997,0.19516,9,4,-0.922,-0.0709,-1.1566,-0.089,-14.042,-1.0801,34,2.8225,1,2.8873,0.0294,20,2.8044,0.5882,13,2.8454,0.3824,BBP,NO,,,C2v
